House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
8,Lee Shoal,Stuart,Clarke,8,Son,NA,Male,Student,None,NA
8,Lee Shoal,Jemma,Clarke,5,Daughter,NA,Female,Student,None,NA
8,Lee Shoal,Ann,Clarke,0,Daughter,NA,Female,Child,None,NA
9,Lee Shoal,Howard,Young,53,Head,Married,Male,Trade mark attorney,None,None
9,Lee Shoal,Aimee,Young,48,Wife,Married,Female,Nutritional therapist,None,None
10,Lee Shoal,Leon,Lewis,39,Head,Widowed,Male,Licensed conveyancer,None,Methodist
11,Lee Shoal,Liam,Jordan,40,Head,Single,Male,Dancer,None,Catholic
11,Lee Shoal,Sian,Jackson,51,None,Single,Female,"Psychologist, forensic",None,Christian
11,Lee Shoal,Natasha,Whitehouse,22,None,Single,Female,University Student,None,Methodist
11,Lee Shoal,Clive,Norris,46,None,Single,Male,"Engineer, manufacturing",None,Christian
12,Lee Shoal,Jonathan,Wallace,48,Head,Divorced,Male,Chief Strategy Officer,None,Methodist
12,Lee Shoal,Albert,Wallace,4,Grandson,NA,Male,Child,None,NA
13,Lee Shoal,Sylvia,Robertson,53,Head,Single,Female,Product/process development scientist,None,Christian
13,Lee Shoal,Toby,Curtis,23,None,Single,Male,Chartered legal executive (England and Wales),None,None
14,Lee Shoal,Barry,Taylor,63,Head,Single,Male,Unemployed,None,None
15,Lee Shoal,Alison,Miles,39,Head,Single,Female,Unemployed,None,Methodist
15,Lee Shoal,Maurice,Reynolds,54,Lodger,Single,Male,Herpetologist,None,None
15,Lee Shoal,Craig,Ellis,58,Lodger,Single,Male,"Engineer, chemical",None,Methodist
16,Lee Shoal,Kirsty,Morton,40,Head,Single,Female,Quality manager,None,Methodist
16,Lee Shoal,Nicholas,Parkes,41,Partner,Single,Male,Records manager,None,None
16,Lee Shoal,Malcolm,Evans-Morton,3,Son,NA,Male,Child,None,NA
17,Lee Shoal,Aaron,Lees,36,Head,Single,Male,Unemployed,None,None
17,Lee Shoal,Helen,Kelly,46,Lodger,Single,Female,Unemployed,None,Catholic
18,Lee Shoal,Lauren,West,46,Head,Single,Female,Publishing copy,None,None
18,Lee Shoal,Roger,West,17,Son,NA,Male,Student,None,NA
18,Lee Shoal,Kathleen,West,13,Daughter,NA,Female,Student,None,NA
19,Lee Shoal,Diane,Reynolds,61,Head,Married,Female,Secretary/administrator,None,Christian
19,Lee Shoal,William,Reynolds,65,Husband,Married,Male,"Social research officer, government",None,None
19,Lee Shoal,Nicholas,Reynolds,36,Son,Divorced,Male,"Education officer, environmental",None,Christian
20,Lee Shoal,Roy,Norris,49,Head,Single,Male,"Sales professional, IT",None,None
20,Lee Shoal,Sam,White,19,None,Single,Male,University Student,None,Muslim
20,Lee Shoal,Jade,Kirk,50,None,Single,Female,Ophthalmologist,None,Catholic
20,Lee Shoal,Lewis,Khan,26,None,Single,Male,Unemployed,None,None
20,Lee Shoal,Hannah,Bradley,53,None,Single,Female,Landscape architect,None,Christian
21,Lee Shoal,Victor,Hill,47,Head,Married,Male,Warehouse manager,None,Christian
21,Lee Shoal,Lorraine,Hill,45,Wife,Married,Female,Probation officer,None,Christian
1,Zebra Lodge,Timothy,Taylor,83,Head,Divorced,Male,Unemployed,None,Christian
2,Zebra Lodge,Jennifer,Ahmed,74,Head,Widowed,Female,Retired Firefighter,None,Catholic
3,Zebra Lodge,Cameron,Johnson,25,Head,Divorced,Male,Unemployed,None,None
4,Zebra Lodge,Rita,Wallis,35,Head,Single,Female,Academic librarian,None,Methodist
5,Zebra Lodge,Samantha,Franklin,46,Head,Married,Female,Environmental consultant,None,Christian
5,Zebra Lodge,Josh,Franklin,48,Husband,Married,Male,"Education officer, community",None,Christian
5,Zebra Lodge,Jade,Franklin,17,Daughter,NA,Female,Student,None,NA
6,Zebra Lodge,Owen,Fisher,79,Head,Married,Male,"Retired Therapist, sports",None,Christian
6,Zebra Lodge,Emma,Fisher,75,Wife,Married,Female,Retired Careers adviser,None,Christian
7,Zebra Lodge,Aimee,Brown,25,Head,Single,Female,"Therapist, nutritional",None,Christian
8,Zebra Lodge,Samuel,Akhtar,44,Head,Single,Male,Occupational hygienist,None,Catholic
8,Zebra Lodge,Maria,Shah,41,Partner,Single,Female,Chiropodist,None,None
9,Zebra Lodge,Charles,White,59,Head,Single,Male,Radiation protection practitioner,None,Christian
10,Zebra Lodge,Callum,Chandler,46,Head,Single,Male,Personal assistant,None,Methodist
11,Zebra Lodge,Stephanie,Smith,66,Head,Single,Female,"Pharmacist, community",None,Methodist
12,Zebra Lodge,Jade,Taylor,32,Head,Single,Female,Learning disability nurse,None,None
13,Zebra Lodge,Clifford,Reeves,20,Head,Single,Male,University Student,None,None
14,Zebra Lodge,Ashley,Day,70,Head,Married,Male,Retired Therapeutic radiographer,None,None
14,Zebra Lodge,Rachael,Day,67,Wife,Married,Female,Advice worker,None,None
15,Zebra Lodge,Teresa,Arnold,72,Head,Widowed,Female,Retired Research scientist (medical),None,Christian
16,Zebra Lodge,Carl,Sims,71,Head,Widowed,Male,Retired Community arts worker,None,Christian
17,Zebra Lodge,Josh,Morton,102,Head,Divorced,Male,Retired Purchasing manager,None,Catholic
18,Zebra Lodge,Harriet,Mason,73,Head,Married,Female,"Retired Research officer, trade union",None,Christian
18,Zebra Lodge,Mitchell,Mason,75,Husband,Married,Male,"Retired Surveyor, quantity",None,None
19,Zebra Lodge,Amanda,Baker,68,Head,Widowed,Female,Retired Counsellor,None,Christian
20,Zebra Lodge,Charlotte,Todd,73,Head,Divorced,Female,Retired Glass blower/designer,None,Methodist
21,Zebra Lodge,Suzanne,Ellis,25,Head,Single,Female,Advertising copywriter,None,None
21,Zebra Lodge,Stuart,Goddard,24,Partner,Single,Male,Medical secretary,None,None
22,Zebra Lodge,Jayne,Smith,60,Head,Single,Female,Consulting civil engineer,None,None
23,Zebra Lodge,Henry,Roberts,39,Head,Married,Male,Press photographer,None,None
23,Zebra Lodge,Katherine,Roberts,35,Wife,Married,Female,"Designer, blown glass/stained glass",None,None
24,Zebra Lodge,Paula,Barber,67,Head,Widowed,Female,Unemployed,None,Christian
24,Zebra Lodge,Declan,Barber,38,Son,Single,Male,Advertising account executive,None,Christian
24,Zebra Lodge,Leslie,Barber,34,Son,Divorced,Male,Academic librarian,None,None
25,Zebra Lodge,Stephen,Black,45,Head,Married,Male,"Engineer, technical sales",None,Catholic
25,Zebra Lodge,Ruth,Black,43,Wife,Married,Female,Sports development officer,None,None
26,Zebra Lodge,Mandy,Sanderson,30,Head,Single,Female,Civil Service fast streamer,None,None
26,Zebra Lodge,Victoria,Benson,64,None,Single,Female,Chief Executive Officer,None,None
26,Zebra Lodge,Sarah,Graham,46,None,Single,Female,"Engineer, drilling",None,Sikh
27,Zebra Lodge,Joanna,Wong,28,Head,Single,Female,Trade union research officer,None,None
28,Zebra Lodge,Brett,Jenkins,45,Head,Single,Male,"Designer, graphic",None,Catholic
29,Zebra Lodge,Margaret,Hayward,40,Head,Single,Female,Arboriculturist,None,Christian
29,Zebra Lodge,Gregory,Hayward,23,Son,Single,Male,Bookseller,None,None
29,Zebra Lodge,Julian,Hayward,21,Son,Single,Male,University Student,None,Christian
30,Zebra Lodge,Debra,Phillips,51,Head,Married,Female,Town planner,None,Jewish
30,Zebra Lodge,Lawrence,Phillips,53,Husband,Married,Male,Film/video editor,None,Jewish
30,Zebra Lodge,Julian,Phillips,33,Son,Divorced,Male,Customer service manager,None,Jewish
31,Zebra Lodge,Wendy,Holmes,41,Head,Single,Female,Office manager,None,Christian
31,Zebra Lodge,Maureen,Powell,40,None,Single,Female,"Civil engineer, consulting",None,Catholic
32,Zebra Lodge,Hazel,Ball,62,Head,Single,Female,Haematologist,None,Christian
1,Holyrood Trace,Chelsea,Morris,65,Head,Married,Female,Unemployed,None,Christian
1,Holyrood Trace,Norman,Morris,69,Husband,Married,Male,"Retired Administrator, local government",None,None
2,Holyrood Trace,Kayleigh,Lynch,49,Head,Married,Female,Actor,None,Christian
2,Holyrood Trace,Colin,Lynch,50,Husband,Married,Male,Financial adviser,None,Christian
3,Holyrood Trace,Dawn,Hill,32,Head,Single,Female,"Biochemist, clinical",None,None
3,Holyrood Trace,Conor,Whitehead,42,None,Single,Male,Unemployed,None,Methodist
3,Holyrood Trace,Samantha,Evans,34,None,Single,Female,"Nurse, mental health",None,Methodist
4,Holyrood Trace,Nicola,Scott,34,Head,Divorced,Female,Unemployed,None,None
4,Holyrood Trace,Stephen,Scott,17,Son,NA,Male,Student,None,NA
5,Holyrood Trace,Maureen,Fox,48,Head,Single,Female,"Surveyor, quantity",Mental Disability,Christian
6,Holyrood Trace,Sophie,Miah,30,Head,Single,Female,Unemployed,None,None
6,Holyrood Trace,Kim,Williams,11,Daughter,NA,Female,Student,None,NA
7,Holyrood Trace,Nigel,Davis,34,Head,Divorced,Male,Unemployed,None,Christian
7,Holyrood Trace,Gavin,Davis,7,Son,NA,Male,Student,None,NA
8,Holyrood Trace,Natalie,Williams,23,Head,Single,Female,Acupuncturist,None,None
9,Holyrood Trace,Liam,North,58,Head,Single,Male,Medical laboratory scientific officer,None,None
10,Holyrood Trace,Louise,Ball,60,Head,Single,Female,"Radiographer, therapeutic",None,Methodist
10,Holyrood Trace,Chloe,Foster,63,None,Single,Female,Hydrographic surveyor,None,None
10,Holyrood Trace,Brett,Moore,31,None,Single,Male,Training and development officer,None,None
10,Holyrood Trace,Sian,Pickering,36,None,Single,Female,Armed forces technical officer,None,Christian
11,Holyrood Trace,Claire,Bird,45,Head,Married,Female,Therapeutic radiographer,None,Catholic
11,Holyrood Trace,Jordan,Bird,46,Husband,Married,Male,Contractor,None,Catholic
11,Holyrood Trace,Brett,Bird,24,Son,Single,Male,Secondary school teacher,None,Catholic
11,Holyrood Trace,Mathew,Bird,10,Son,NA,Male,Student,None,NA
12,Holyrood Trace,Marian,Marsh,61.61015620160364,Head,Single,Female,"Engineer, water",None,Christian
12,Holyrood Trace,Marc,Parry,62.61015620160364,Partner,Single,Male,"Psychologist, educational",None,Christian
12,Holyrood Trace,Vincent,Marsh,15.0,Son,NA,Male,Student,None,NA
12,Holyrood Trace,Molly,Marsh,10.0,Daughter,NA,Female,Student,None,NA
13,Holyrood Trace,Ashleigh,Lewis,18,Head,Single,Female,University Student,None,Catholic
13,Holyrood Trace,Martin,Carpenter,21,None,Single,Male,University Student,None,Sikh
14,Holyrood Trace,Denise,Murray,63,Head,Divorced,Female,Marine scientist,None,Christian
15,Holyrood Trace,Pauline,Quinn,43,Head,Single,Female,"Scientist, audiological",None,None
15,Holyrood Trace,Jordan,Jones,51,Partner,Single,Male,Print production planner,None,None
15,Holyrood Trace,Heather,Quinn,10,Daughter,NA,Female,Student,None,NA
15,Holyrood Trace,Angela,Quinn,7,Daughter,NA,Female,Student,None,NA
15,Holyrood Trace,Rachael,Quinn,4,Daughter,NA,Female,Child,None,NA
16,Holyrood Trace,Kenneth,Jackson,37,Head,Divorced,Male,Research scientist (physical sciences),None,Christian
17,Holyrood Trace,Jessica,Richards,38,Head,Single,Female,Unemployed,None,Christian
17,Holyrood Trace,Gerard,Richards,4,Son,NA,Male,Child,None,NA
17,Holyrood Trace,Declan,Thompson,18,Lodger,Single,Male,Student,None,NA
1,Edwards Mountain,Mark,Green,54,Head,Married,Male,Public affairs consultant,None,Methodist
1,Edwards Mountain,Francesca,Green,48,Wife,Married,Female,Risk analyst,None,Methodist
2,Edwards Mountain,Diana,Lewis,56,Head,Single,Female,"Embryologist, clinical",None,Christian
2,Edwards Mountain,George,Lewis,22,Son,Single,Male,University Student,None,None
2,Edwards Mountain,Leonard,Lewis,22,Son,Single,Male,University Student,None,Christian
3,Edwards Mountain,Lynn,Graham,31,Head,Married,Female,Unemployed,None,None
3,Edwards Mountain,Leon,Cameron,33,Husband,Married,Male,Cytogeneticist,None,None
3,Edwards Mountain,Dale,Graham,8,Son,NA,Male,Student,None,NA
4,Edwards Mountain,Danielle,Lowe,41,Head,Married,Female,Mudlogger,None,Christian
4,Edwards Mountain,Samuel,Lowe,52,Husband,Married,Male,Meteorologist,None,Christian
4,Edwards Mountain,Gerard,Lowe,17,Son,NA,Male,Student,None,NA
5,Edwards Mountain,Luke,Ahmed,21,Head,Single,Male,University Student,None,None
5,Edwards Mountain,Mohamed,Doherty,18,None,Single,Male,University Student,None,None
5,Edwards Mountain,Leigh,Clarke,19,None,Single,Male,University Student,None,Catholic
5,Edwards Mountain,Paul,Johnson,32,None,Single,Male,PhD Student,None,Christian
6,Edwards Mountain,Georgia,Mills,36,Head,Divorced,Female,"Horticulturist, amenity",None,Catholic
6,Edwards Mountain,Dylan,Mills,9,Son,NA,Male,Student,None,NA
6,Edwards Mountain,Keith,Mills,8,Son,NA,Male,Student,None,NA
7,Edwards Mountain,Pamela,Finch,56,Head,Married,Female,Research scientist (physical sciences),None,Methodist
7,Edwards Mountain,Colin,Finch,58,Husband,Married,Male,Unemployed,None,Methodist
7,Edwards Mountain,Janet,Finch,28,Daughter,Single,Female,Animator,None,Methodist
7,Edwards Mountain,Francis,Finch,25,Son,Divorced,Male,Mental health nurse,None,Methodist
7,Edwards Mountain,Rachael,Finch,25,Daughter,Divorced,Female,Make,None,Methodist
8,Edwards Mountain,Ryan,Bell,58,Head,Married,Male,"Designer, graphic",None,Catholic
8,Edwards Mountain,Susan,Bell,59,Wife,Married,Female,Marketing executive,None,Catholic
9,Edwards Mountain,Francesca,Smith-Black,44,Head,Single,Female,Unemployed,None,Catholic
9,Edwards Mountain,Sandra,Dixon,8,Daughter,NA,Female,Student,None,NA
10,Edwards Mountain,Hilary,Baxter,44,Head,Single,Female,Investment analyst,None,Catholic
11,Edwards Mountain,Frances,Brady,60,Head,Single,Female,Logistics and distribution manager,None,None
11,Edwards Mountain,Kathryn,Brady,32,Daughter,Single,Female,Magazine journalist,None,None
11,Edwards Mountain,Dylan,Brady,29,Son,Single,Male,Unemployed,None,None
12,Edwards Mountain,Anthony,Green,34,Head,Married,Male,"Editor, film/video",None,None
12,Edwards Mountain,Rosemary,Green,32,Wife,Married,Female,Unemployed,None,None
12,Edwards Mountain,Justin,Green,12,Son,NA,Male,Student,None,NA
13,Edwards Mountain,Barbara,Watkins,60,Head,Divorced,Female,Unemployed,None,None
13,Edwards Mountain,Frances,Watkins,24,Daughter,Divorced,Female,"Engineer, communications",None,None
13,Edwards Mountain,Ben,Watkins,22,Son,Divorced,Male,University Student,None,None
14,Edwards Mountain,Andrea,Lee,48,Head,Single,Female,Civil Service fast streamer,None,Christian
14,Edwards Mountain,Keith,Lee,18,Son,Divorced,Male,Student,None,Christian
14,Edwards Mountain,Katy,Lee,17,Daughter,NA,Female,Student,None,NA
14,Edwards Mountain,Gillian,Lee,14,Daughter,NA,Female,Student,None,NA
1,Gold Road,Natasha,Dobson,62,Head,Single,Female,Public librarian,None,Christian
1,Gold Road,Diane,Hall,46,None,Single,Female,Broadcast journalist,None,Catholic
1,Gold Road,Lewis,Bowen,64,None,Single,Male,Broadcast presenter,None,Christian
2,Gold Road,Abbie,Brown,61,Head,Married,Female,Agricultural engineer,None,None
2,Gold Road,Gareth,Brown,58,Husband,Married,Male,Clinical cytogeneticist,None,None
2,Gold Road,Marian,Brown,21,Daughter,Single,Female,University Student,None,None
2,Gold Road,Stephanie,Yates-Brown,17,Daughter,NA,Female,Student,None,NA
3,Gold Road,Kayleigh,Foster,44,Head,Single,Female,Ergonomist,None,Catholic
3,Gold Road,Sharon,Lowe,59,None,Single,Female,Scientific laboratory technician,None,Catholic
3,Gold Road,Donald,Edwards,19,None,Single,Male,University Student,None,Christian
4,Gold Road,Katy,Adams,56,Head,Single,Female,Planning and development surveyor,None,Catholic
4,Gold Road,Donald,Adams,33,Son,Divorced,Male,"Engineer, civil (consulting)",None,None
4,Gold Road,Mandy,Adams,29,Daughter,Single,Female,Applications developer,None,None
4,Gold Road,Leslie,Adams,22,Son,Single,Male,University Student,None,Catholic
4,Gold Road,Leslie,Adams,16,Son,NA,Male,Student,None,NA
5,Gold Road,Jodie,Wilson,38,Head,Married,Female,Recruitment consultant,None,None
5,Gold Road,Lewis,Wilson,43,Husband,Married,Male,Chief Financial Officer,None,None
5,Gold Road,Kyle,Schofield,14,Step-Son,NA,Male,Student,None,NA
6,Gold Road,Jacob,Hodgson,36,Head,Married,Male,"Production assistant, television",None,Catholic
6,Gold Road,Anne,Hodgson,35,Wife,Married,Female,Technical author,None,Catholic
6,Gold Road,Jane,Hodgson,5,Daughter,NA,Female,Student,None,NA
7,Gold Road,Jenna,Miller,33,Head,Married,Female,Town planner,None,Muslim
7,Gold Road,Leslie,Miller,37,Husband,Married,Male,Acupuncturist,None,Muslim
7,Gold Road,Nicola,Miller,10,Daughter,NA,Female,Student,None,NA
8,Gold Road,Craig,Thomas,71,Head,Widowed,Male,Retired International aid/development worker,None,None
8,Gold Road,Rosemary,Thomas,45,Daughter,Divorced,Female,Horticultural consultant,None,None
8,Gold Road,Gerald,Thomas,41,Son,Single,Male,Jewellery designer,None,None
8,Gold Road,David,Thomas,39,Son,Single,Male,Careers information officer,None,None
9,Gold Road,Amanda,Noble,28,Head,Married,Female,Financial manager,None,None
9,Gold Road,William,Noble,31,Husband,Married,Male,Editorial assistant,None,None
9,Gold Road,Craig,Price,6,Son,NA,Male,Student,None,NA
10,Gold Road,Judith,Fletcher,44,Head,Married,Female,Mudlogger,None,Christian
10,Gold Road,Tony,Fletcher,50,Husband,Married,Male,Chief Strategy Officer,None,None
10,Gold Road,Sarah,Fletcher,4,Daughter,NA,Female,Child,None,NA
11,Gold Road,Suzanne,Scott,42,Head,Married,Female,Chemical engineer,None,Christian
11,Gold Road,Reece,Scott,45,Husband,Married,Male,Geophysicist/field seismologist,None,None
11,Gold Road,Neil,Scott,11,Son,NA,Male,Student,None,NA
12,Gold Road,Bradley,Reid,26,Head,Divorced,Male,Product/process development scientist,None,None
13,Gold Road,Bethan,Richards,37,Head,Divorced,Female,Unemployed,None,Catholic
13,Gold Road,Hayley,Richards,9,Daughter,NA,Female,Student,None,NA
13,Gold Road,Kirsty,Richards,5,Daughter,NA,Female,Student,None,NA
14,Gold Road,Carole,Giles,68,Head,Single,Female,"Retired Surveyor, building control",None,None
14,Gold Road,Cheryl,Giles,40,Daughter,Widowed,Female,Brewing technologist,None,None
14,Gold Road,Bruce,Patel-Giles,39,Son,Single,Male,Aeronautical engineer,None,None
14,Gold Road,Gerald,Patel-Giles,35,Son,Single,Male,Civil Service fast streamer,None,None
15,Gold Road,Raymond,Patel,32,Head,Single,Male,Unemployed,None,None
15,Gold Road,Sharon,Patel,10,Daughter,NA,Female,Student,None,NA
15,Gold Road,Jack,Patel,8,Son,NA,Male,Student,None,NA
15,Gold Road,Chloe,Patel,1,Daughter,NA,Female,Child,None,NA
15,Gold Road,Liam,Phillips,41,Sibling,Single,Male,Press sub,None,None
16,Gold Road,Colin,Johnson,41,Head,Divorced,Male,Purchasing manager,None,None
16,Gold Road,Naomi,Johnson,14,Daughter,NA,Female,Student,None,NA
17,Gold Road,Liam,Shah,65,Head,Divorced,Male,Unemployed,None,None
18,Gold Road,Aimee,Mills,42,Head,Married,Female,"Administrator, sports",None,Christian
18,Gold Road,Gareth,Mills,38,Husband,Married,Male,"Horticulturist, amenity",None,None
18,Gold Road,Joan,Mills,22,Daughter,Single,Female,University Student,None,Christian
18,Gold Road,Owen,Mills,15,Son,NA,Male,Student,None,NA
19,Gold Road,Alison,Howard,50,Head,Married,Female,Firefighter,Unknown Infection,None
19,Gold Road,Ryan,Howard,51,Husband,Married,Male,Chief Operating Officer,None,None
19,Gold Road,Luke,Howard,16,Son,NA,Male,Student,None,NA
20,Gold Road,Melanie,George,49,Head,Married,Female,Unemployed,None,None
20,Gold Road,Damien,George,52,Husband,Married,Male,"Teacher, music",None,None
20,Gold Road,Kerry,George,18,Daughter,Single,Female,Student,None,None
20,Gold Road,Ronald,George,16,Son,NA,Male,Student,None,NA
21,Gold Road,Tina,James,47,Head,Married,Female,"Programmer, applications",None,None
